"File","Tag","Class","Type"
"src/app/core/alerts/alert-badge.component.ts","<button class=""alert-badge-btn"" (click)=""toggle.emit()"" title=""Alertas"">","alert-badge-btn",""
"src/app/core/alerts/alert-panel.component.ts","<button class=""close-btn"" (click)=""close.emit()"" title=""Cerrar"">","close-btn",""
"src/app/core/alerts/alert-panel.component.ts","<button
          class=""action-link""
          (click)=""markAllRead()""
          [disabled]=""!hasUnread""
        >","action-link",""
"src/app/core/alerts/alert-panel.component.ts","<button class=""action-link"" (click)=""refresh()"">","action-link",""
"src/app/core/alerts/alert-panel.component.ts","<button class=""meta-link"" (click)=""goToEntity(alert)"">","meta-link",""
"src/app/core/alerts/alert-panel.component.ts","<button
                    class=""icon-btn""
                    (click)=""markRead(alert.id, $event)""
               ","icon-btn",""
"src/app/core/alerts/alert-panel.component.ts","<button
                  class=""icon-btn""
                  (click)=""dismiss(alert.id, $event)""
                  ti","icon-btn",""
"src/app/core/confirm-dialog/confirm-dialog.component.ts","<button
              type=""button""
              class=""btn""
              [class.btn-primary]=""(config.type ?? 'primar","btn","button"
"src/app/core/help/help-hint.component.ts","<button
      class=""help-hint""
      [attr.aria-label]=""'Ayuda: ' + label""
      [title]=""label""
      (click)=""ope","help-hint","button"
"src/app/core/help/help-panel.component.ts","<button
              class=""help-tab""
              [class.active]=""activeTabId() === tab.id""
              [attr.aria-","help-tab",""
"src/app/core/help/help-panel.component.ts","<button class=""empty-action"" (click)=""clearSearch()"">","empty-action",""
"src/app/core/help/help-panel.component.ts","<button
              class=""category-toggle""
              [class.expanded]=""isExpanded(cat.id)""
              (click)=","category-toggle",""
"src/app/core/help/help-panel.component.ts","<button
                      class=""section-toggle""
                      [class.expanded]=""isSectionExpanded(section.i","section-toggle",""
"src/app/core/help/help-panel.component.ts","<button
                          class=""icon-action share-action""
                          title=""Copiar enlace a esta","icon-action share-action",""
"src/app/core/help/help-panel.component.ts","<button
                          class=""icon-action favorite-action""
                          [class.is-favorite]=""hel","icon-action favorite-action",""
"src/app/core/help/help-panel.component.ts","<button class=""feedback-btn"" (click)=""sendFeedback()"">","feedback-btn",""
"src/app/core/keyboard-shortcuts/shortcuts-help.component.ts","<button class=""shortcuts-close"" (click)=""close()"" aria-label=""Cerrar"">","shortcuts-close",""
"src/app/core/layout/layout.component.html","<button
    class=""sidebar-toggle-btn""
    [class.collapsed]=""sidebarCollapsed""
    (click)=""toggleSidebar()""
    [t","sidebar-toggle-btn",""
"src/app/core/toast/toast.component.ts","<button
            class=""toast__close""
            (click)=""toastService.dismiss(toast.id)""
            aria-label=","toast__close",""
"src/app/pages/account-mappings/account-mappings.component.html","<button
            class=""tab-btn""
            [class.active]=""activeTab === category.key""
            (click)=""setT","tab-btn",""
"src/app/pages/accounts/accounts.component.html","<button
                class=""tree-expand-btn""
                (click)=""toggleExpand(acc.code); $event.stopPropagatio","tree-expand-btn",""
"src/app/pages/assembly-orders/assembly-order-detail.component.html","<button
          class=""tab-btn""
          [class.active]=""activeTab === 'info'""
          (click)=""activeTab = 'inf","tab-btn",""
"src/app/pages/assembly-orders/assembly-order-detail.component.html","<button
          class=""tab-btn""
          [class.active]=""activeTab === 'components'""
          (click)=""activeTab ","tab-btn",""
"src/app/pages/assembly-orders/assembly-order-detail.component.html","<button
          class=""tab-btn""
          [class.active]=""activeTab === 'movements'""
          (click)=""activeTab =","tab-btn",""
"src/app/pages/delivery-orders/delivery-orders-form.component.html","<button
            type=""button""
            class=""tab-btn""
            [class.active]=""activeTab === 'detail'""
  ","tab-btn","button"
"src/app/pages/delivery-orders/delivery-orders-form.component.html","<button
            type=""button""
            class=""tab-btn""
            [class.active]=""activeTab === 'discounts'""","tab-btn","button"
"src/app/pages/delivery-orders/delivery-orders-form.component.html","<button
            type=""button""
            class=""tab-btn""
            [class.active]=""activeTab === 'costs'""
   ","tab-btn","button"
"src/app/pages/delivery-orders/delivery-orders-form.component.html","<button
            type=""button""
            class=""tab-btn""
            [class.active]=""activeTab === 'taxes'""
   ","tab-btn","button"
"src/app/pages/delivery-orders/delivery-orders-form.component.html","<button
            type=""button""
            class=""tab-btn""
            [class.active]=""activeTab === 'udfs'""
    ","tab-btn","button"
"src/app/pages/delivery-orders/delivery-orders-form.component.html","<button
                type=""button""
                class=""dropdown-item""
                [class.item-disabled]=""!c","dropdown-item","button"
"src/app/pages/delivery-orders/delivery-orders-form.component.html","<button
                type=""button""
                class=""dropdown-item""
                [class.item-disabled]=""!c","dropdown-item","button"
"src/app/pages/delivery-orders/delivery-orders-form.component.html","<button
                type=""button""
                class=""dropdown-item item-danger""
                (click)=""canc","dropdown-item item-danger","button"
"src/app/pages/delivery-orders/delivery-orders.component.html","<button
      class=""status-tab""
      [class.active]=""statusFilter === 'ALL'""
      (click)=""setStatusFilter('ALL')""","status-tab",""
"src/app/pages/delivery-orders/delivery-orders.component.html","<button
      class=""status-tab""
      [class.active]=""statusFilter === 'OPEN'""
      (click)=""setStatusFilter('OPEN'","status-tab",""
"src/app/pages/delivery-orders/delivery-orders.component.html","<button
      class=""status-tab""
      [class.active]=""statusFilter === 'CLOSED'""
      (click)=""setStatusFilter('CLO","status-tab",""
"src/app/pages/delivery-orders/delivery-orders.component.html","<button
      class=""status-tab""
      [class.active]=""statusFilter === 'CANCELLED'""
      (click)=""setStatusFilter('","status-tab",""
"src/app/pages/employees/employees.component.html","<button
      class=""status-tab""
      [class.active]=""statusFilter === null""
      (click)=""setStatusFilter(null)""
","status-tab",""
"src/app/pages/employees/employees.component.html","<button
      class=""status-tab""
      [class.active]=""statusFilter === 'ACTIVE'""
      (click)=""setStatusFilter('ACT","status-tab",""
"src/app/pages/employees/employees.component.html","<button
      class=""status-tab""
      [class.active]=""statusFilter === 'INACTIVE'""
      (click)=""setStatusFilter('I","status-tab",""
"src/app/pages/incoming-payments/incoming-payments-form.component.html","<button
                    type=""button""
                    class=""tab-btn""
                    [class.active]=""act","tab-btn","button"
"src/app/pages/incoming-payments/incoming-payments-form.component.html","<button
                    type=""button""
                    class=""tab-btn""
                    [class.active]=""act","tab-btn","button"
"src/app/pages/incoming-payments/incoming-payments.component.html","<button
      class=""status-tab""
      [class.active]=""statusFilter === 'ALL'""
      (click)=""setStatusFilter('ALL')""","status-tab",""
